Titulo,Rating,Genero,Descripcion,Temporadas,Link,Titulo Capitulo,Episodio,Duracion,Descripcion Capitulo,Link Capitulo
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Monica Vuelve a casa (parte 1 de 2),T1E6,48 min,"Los cobradores de deudas rodean a los Gallagher, pero Frank tiene algo más en mente: un plan para obtener manutención infantil de su ex esposa y madre de sus hijos.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Shameless,TV-MA,Comedia,"Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.",6 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details,Muerto (Parte 2 de 2),T1E7,47 min,"Frank solo se preocupa por sí mismo, como siempre, y las cosas no van bien. El departamento de vivienda está detrás de él, sus deudas se están acumulando y los alguaciles todavía están en la puerta.",https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 1,T1E1,43 min,"Ante la muerte de su esposo Vicente a manos de la guerrilla, Francisca, su hermano y su hijo se suman a la larga lista de desplazados en Colombia.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 2,T1E2,41 min,"Entretanto Jessica y 4 de sus amigas, Cris, Vanesa, Paula y Catalina llegan a la casa de Rafael Duque, en donde se está realizando una fiesta en honor a el narcotraficante Cardona.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 3,T1E3,42 min,"Durante la investigación de la muerte de Alejandra, el inspector Diego Torres, obtiene los datos de su apartamento, a donde decide ir inmediatamente, descubriendo que el lugar había sido manipulado al no encontrar objetos personales de ella.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 4,T1E4,42 min,"Después del incidente en la fiesta de Duque, en donde Catalina agredió a Morón, uno de los narcotraficantes, exigiendo la muerte de ella inmediatamente, en donde Duque le asegura que ya está muerta.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 5,T1E5,42 min,"En las horas de la noche, Lolo el hermano de Duque, genera una pelea con otros hombres a raíz de varios cometarios que le disgustaron.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 6,T1E6,42 min,"Tras la muerte de Lolo por orden de su hermano Duque, la policía se da cuenta que lo utilizaron como carnada para que nadie sospeche de Duque, a raíz de esto se desató una pequeña discusión con su madre.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 7,T1E7,42 min,"El Duque después de confesarle a su madre que él fue quien mando a matar a su hermano, se desata una discusión entre los dos, en donde su madre le pide que no la vuelva a visitar ya que él mató a su hijo preferido.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
Sin tetas no hay paraíso (ESP),TV-PG,Telenovela,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.",3 Temporadas Disponibles,https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details,Episodio 8,T1E8,42 min,"Tras pasar un tiempo, Jessica se convirtió en la persona de confianza de Morón y Cardona para conseguir la chica que quisieran, entre ellas una famosa actriz a quien Jessica le ofrece un proyecto de actuación para que caiga en su trampa.",https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7/details
