Titulo,Rating,Genero,Descripcion,Link,Duracion
Chiguagua: el fantasma,TV-PG,Familia,"Al heredar una antigua casa de vacaciones, los Fastener se dan cuenta que la perra de sus antepasados, Sophie los persigue. Homer, su golden retriever, se hace amigo de Sophie y descubre que ella solo está buscando una familia a la que amar",https://pluto.tv/latam/on-demand/movies/62bcab10e9e8c00013709d5a/details,1hr 22 min
LBJ: La esperanza de una nación,TV-14,Drama,"Al perder la nominación del Partido Demócrata ante Kennedy, Lyndon Johnson acepta actuar como su vice. Cuando asume el cargo después del asesinato del presidente, LBJ lucha para asegurar su presidencia aprobando la Ley de Derechos Civiles de Kennedy.",https://pluto.tv/latam/on-demand/movies/6346d281cba1290014d8630d/details,1hr 37 min
Max salva al Mundo,TV-14,Familia,Sean y su perro Max quieren ser detectives pero en su vecindario no sucede nada hasta que desaparece un diamante. Ahora tendrán que enfrentarse a un grupo de alienígenas que vienen al planeta con planes de quemar la Tierra.,https://pluto.tv/latam/on-demand/movies/60c8abd436537d0013320af4/details,1hr 28 min
Fuerzas malignas,PG-13,Terror,De vacaciones en Camboya el joven Ben y Amber se conocen y comienzan a vivir un amor apasionado. Las vacaciones perfectas se convierten rápidamente en una pesadilla cuando una entidad malvada comienza a perseguir a la chica.,https://pluto.tv/latam/on-demand/movies/625dbabc228ab000133e2dee/details,1hr 25 min
Una visita al pasado,PG-13,Drama,"Con Kurt Russel. Una estrella de fútbol resultó herida y ahora vive como granjero con su familia. En un juego del destino, tiene la oportunidad de viajar en el tiempo y recuperar su gloria, pero cambiar el pasado también altera su presente.",https://pluto.tv/latam/on-demand/movies/649c84d8ab3edd001382cff2/details,2hr 3 min
La jugada maestra,PG-13,Drama,"Ambientado durante la Guerra Fría, el campeón de ajedrez norteamericano Bobby Fischer se encuentra atrapado entre dos superpotencias y sus propias luchas mientras desafía al Imperio Soviético.",https://pluto.tv/latam/on-demand/movies/62ffb0b3362313001aaa7ad0/details,1hr 55 min
Mimic: No sigas las voces,PG-13,Terror,"Una familia que aún se está recuperando de un incidente traumático es víctima de un ser sobrenatural. Inspirado en la leyenda urbana coreana del Jangsan Tiger, una criatura devoradora de hombres que atrae a las personas imitando una voz.",https://pluto.tv/latam/on-demand/movies/63d414c3200a6700136703aa/details,1hr 39 min
Guardián y verdugo,TV-14,Drama,"En un marco histórico sumido en el Apartheid y la segregación racial, la película está basada en el suceso que ocurrió en 1987 en Pretoria, cuando Leon Labuchagne, un guardia de 17 años de edad de una prisión acribilló a disparos a siete personas.",https://pluto.tv/latam/on-demand/movies/62138b6033b8100013bb6d13/details,1hr 46 min
Shelby,TV-G,Familia,"Shelby es un perro sin dueño que tiene por costumbre fugarse de la perrera cada vez que tiene la oportunidad. Durante una de sus escapadas conoce a Jake, un niño que sueña con ser un gran mago, y se hacen amigos inseparables.",https://pluto.tv/latam/on-demand/movies/5fad4a7f8b78ef001aa27bcd/details,1hr 32 min
Marioneta,PG-13,Drama,Un joven actor cubano llega a México buscando una oportunidad. Por azar conoce a una chica en el metro y eso lo lleva directamente a trabajar para la mafia que controla a los limosneros que trabajan actuando en la ciudad.,https://pluto.tv/latam/on-demand/movies/6256d7a1bacbfb0013c1b116/details,1hr 54 min
Tensión en Siria,R,Acción y Aventura,Dos pilotos iraníes están en una misión especial para rescatar a la gente de una pequeña ciudad siria que está rodeada por terroristas de ISIS. Ellos tendrán que enfrentar muchos desafíos antes de poder cumplir la misión.,https://pluto.tv/latam/on-demand/movies/64a6c6b46315810013c957b3/details,1hr 52 min
El Silbón: Orígenes,TV-G,Terror,"Ángel fue marcado al nacer por una maldición. La muerte de su madre lo llevaron a convertirse en un espectro justiciero que comete actos sangrientos. La película está inspirada en un espíritu justiciero de leyendas venezolanas, que silba antes de atacar.",https://pluto.tv/latam/on-demand/movies/6346d27dcba1290014d862d4/details,1hr 23 min
El imperio de las sombras,R,Acción y Aventura,"Finales de los años 20, durante la ocupación japonesa de Corea. Un grupo de la Resistencia intenta traer explosivos desde China para destruir la base nipona en Seúl, mientras que los japoneses intentan detenerlos.",https://pluto.tv/latam/on-demand/movies/649c887812c80e0013cd1a55/details,2hr 20 min
Apex,R,Acción y Aventura,"Cinco cazadores de élite pagan para cazar a un hombre en una isla desierta. Pero cuando su presa comienza a defenderse, los roles de cazadores y de la presa cambian de lado…",https://pluto.tv/latam/on-demand/movies/66a7d1a62fca0600131c856a/details,1hr 33 min
